key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes
25440486,Achieving endoscopic competency in a general surgery residency,2014,1,1,Am J Surg,0002-9610 (Print) 0002-9610,208,6,1035-9; discussion 1038-9,"Barnes, L. J. and Unruh, M. and Drake, R. M. and Helmer, S. D. and Ammar, A. D. and Osland, J. S.",,eng,,,"BACKGROUND: In 2006, the Residency Review Committee for Surgery increased the total number of required endoscopy cases for graduating residents. Our goal was to evaluate general surgery resident competency in endoscopy, focusing on quality measures. METHODS: A 9-year retrospective review was conducted of 29 residents. Total number of endoscopies performed throughout residency was recorded. Procedures performed as fifth-year residents with indirect supervision were evaluated for quality measures. RESULTS: An average of 76 esophagogastroduodenoscopies and 147 colonoscopies were performed through their first 4 years of residency. Chief residents performed an average of 16 esophagogastroduodenoscopies and 22 colonoscopies. Of colonoscopies performed during their fifth year, 191 were performed while the resident had only indirect supervision. During these cases, cecal intubation was achieved in 90.6% of cases, an average of .48 polyps were identified, and average scope withdrawal time was 13.4 +/- 7.1 minutes. CONCLUSIONS: Our data indicate that surgery residents achieve competency in colonoscopy before performing 140 colonoscopies, supporting the concept that surgery residencies can function as an excellent training ground for endoscopy.","1879-1883     Barnes, Lindsey J     Unruh, Mitchell     Drake, Rachel M     Helmer, Stephen D     Ammar, Alex D     Osland, Jacqueline S     Journal Article     United States     Am J Surg. 2014 Dec;208(6):1035-9; discussion 1038-9. doi: 10.1016/j.amjsurg.2014.06.031. Epub 2014 Sep 22.
Barnes, Lindsey J     Unruh, Mitchell     Drake, Rachel M     Helmer, Stephen D     Ammar, Alex D     Osland, Jacqueline S     eng     Am J Surg. 2014 Dec;208(6):1035-9; discussion 1038-9. doi: 10.1016/j.amjsurg.2014.06.031. Epub 2014 Sep 22.
Barnes, Lindsey J     Unruh, Mitchell     Drake, Rachel M     Helmer, Stephen D     Ammar, Alex D     Osland, Jacqueline S     eng     Am J Surg. 2014 Dec;208(6):1035-9; discussion 1038-9. doi: 10.1016/j.amjsurg.2014.06.031. Epub 2014 Sep 22.
Barnes, Lindsey J     Unruh, Mitchell     Drake, Rachel M     Helmer, Stephen D     Ammar, Alex D     Osland, Jacqueline S     eng     Am J Surg. 2014 Dec;208(6):1035-9; discussion 1038-9. doi: 10.1016/j.amjsurg.2014.06.031. Epub 2014 Sep 22. RAYYAN-INCLUSION: {""Lindsay""=>false}"
"",Residents as teachers: Can we make a lesson plan?,2013,1,1,Journal of Surgical Research,,179,2,"","Barrera, K. and Klein, M. and Lau, V. and Miao, E. and Turner, C. and Sanni, A.",http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L70973548,English,,,"Introduction: Amidst the current climate of a declining interest in general surgery among today's medical students, it seems that residents can often have a positive influence acting as both educator and role model.1 However, with the introduction of the 80 hour work week, time for education is often sacrificed and is often on the fly. However, there is wide variability in the level of teaching, and levels of student participation2. Currently, there are few studies with a structured lesson plan. Recently at our institution, a standardized bedside curriculum was implemented using both resident and medical student teaching in the form of daily bedside presentations. The goal of this study was to identify how students felt about this structure and establish the feasibility of this curriculum on a busy general surgery service. Methods: Surveys were provided to students completing a 4 week rotation in general surgery. During the course of their rotation, students performed short bedside presentations on common surgical diseases seen on a typical general surgery clerkship on daily rounds. Additional topics were taught directly by a single chief resident. Following their rotation, students were asked to rate the quality of their instruction, and select which modalities of learning were most helpful. The data was collected using a 5 point Likert scale. Results: A total of 15 medical students participated in this study. Of these, 12 (80%) had completed most or all their core rotations (family medicine, internal medicine, psychiatry, ob/gyn, pediatrics), and 3 (20%) had completed none. All students felt that preparing and presenting their allocated topics was a very educative exercise. Fourteen students (93%) would like to see this model of structured teaching on other clerkships. All the students acknowledged the dedication and capabilities of the residents as good teachers. They felt the combination of resident teaching and individual case presentations improved their knowledge and interest in the general surgery clerkship. Conclusions: A structured curriculum of bedside teaching utilizing both resident and student prepared presentations on a time constrained residency program involves dedication and planning. However, the majority of students in this study want to see this structure on other rotations. Dedicated teaching of medical students by their peers and surgical residents is challenging but feasible on a busy surgical service. Further research into the influence on OSCE, shelf scores, and effect on career choice as a result of this increased interaction is warranted.","L70973548     2013-01-25 RAYYAN-INCLUSION: {""Lindsay""=>false} | RAYYAN-EXCLUSION-REASONS: wrong population"
9336677,Pediatric morning report: an appraisal,1997,1,1,Clin Pediatr (Phila),0009-9228 (Print) 0009-9228,36,10,581-3,"Barton, L. L. and Rice, S. A. and Wells, S. J. and Friedman, A. D.",,eng,,,"We examined and contrasted morning reports at two hospitals, university and community, that have a pediatric residency program. Patient diagnoses assigned at morning report were compared with final diagnoses to assess disease categories discussed and the value of including outpatient follow-up in this educational forum. Data were obtained during morning reports for 6 months by chief residents at university and private community hospitals. Pertinent history, physical examination, and laboratory and radiologic findings were recorded and were assigned a tentative morning report diagnosis based on morning report discussion. Cases were then reviewed at discharge and at 6 months to determine final diagnoses. At the university hospital, 58% of the cases were undiagnosed before presentation at morning report. Of those cases, 23% were assigned a diagnosis at morning report that differed from the final diagnosis. Similarly, at the private community hospital, 28% of cases were undiagnosed before presentation at morning report. Of those cases, 73% were assigned a diagnosis that differed from the final diagnosis. We conclude that the provision of follow-up at morning report is important for maximizing resident education.","Barton, L L     Rice, S A     Wells, S J     Friedman, A D     Journal Article     United States     Clin Pediatr (Phila). 1997 Oct;36(10):581-3. doi: 10.1177/000992289703601005.
Barton, L L     Rice, S A     Wells, S J     Friedman, A D     eng     Clin Pediatr (Phila). 1997 Oct;36(10):581-3. doi: 10.1177/000992289703601005.
Barton, L L     Rice, S A     Wells, S J     Friedman, A D     eng     Clin Pediatr (Phila). 1997 Oct;36(10):581-3. doi: 10.1177/000992289703601005.
Barton, L L     Rice, S A     Wells, S J     Friedman, A D     eng     Clin Pediatr (Phila). 1997 Oct;36(10):581-3. doi: 10.1177/000992289703601005. RAYYAN-INCLUSION: {""Lindsay""=>false}"
8424332,Quality assurance in mammography: status of residency education,1993,1,1,AJR Am J Roentgenol,0361-803X (Print) 0361-803x,160,2,271-4,"Bassett, L. W. and Lubisich, J. P. and Bresch, J. P. and Jessop, N. W. and Hendrick, R. E.",,eng,,,"OBJECTIVE: The purpose of this study was to determine to what extent radiology residents are being trained in quality assurance procedures for mammography. MATERIALS AND METHODS: A telephone survey was conducted with 189 chief residents and 10 other senior residents from 199 of the 209 residency training programs in diagnostic radiology. RESULTS: Time spent on mammography rotations averaged 8 weeks. Only 10 residents (5%) were ""very familiar"" with the American College of Radiology (ACR) Mammography Accreditation Program; 72 (36%) were ""not at all familiar"" with it. Ninety-six (48%) knew that one technologist should be assigned quality control procedures. The majority did not know the recommended frequency for performing any of the five routine quality control procedures; only one knew the recommended frequencies for all five. Only twenty-seven (14%) knew the recommended maximum dose for a mammogram. Regarding biopsy yields and false-negative results: 92 residents (46%) sat in on outcome evaluation sessions; 54 (27%) played active roles, looking up and tabulating results; and 53 (27%) did not participate at all. CONCLUSION: Although time spent on mammography rotations has increased substantially, quality assurance issues are still largely neglected. It may not be reasonable for radiology residents to have detailed instruction in quality assurance procedures for mammography, but they should be more familiar with the general issues involved and the procedures intended to correct the problem of the variable quality of mammography in this country.","Bassett, L W     Lubisich, J P     Bresch, J P     Jessop, N W     Hendrick, R E     U50/CCU30616701/PHS HHS/United States     Journal Article     Research Support, Non-U.S. Gov't     Research Support, U.S. Gov't, Non-P.H.S.     Research Support, U.S. Gov't, P.H.S.     United States     AJR Am J Roentgenol. 1993 Feb;160(2):271-4. doi: 10.2214/ajr.160.2.8424332.
Bassett, L W     Lubisich, J P     Bresch, J P     Jessop, N W     Hendrick, R E     eng     U50/CCU30616701/PHS HHS/     Research Support, Non-U.S. Gov't     Research Support, U.S. Gov't, Non-P.H.S.     Research Support, U.S. Gov't, P.H.S.     AJR Am J Roentgenol. 1993 Feb;160(2):271-4. doi: 10.2214/ajr.160.2.8424332.
Bassett, L W     Lubisich, J P     Bresch, J P     Jessop, N W     Hendrick, R E     eng     U50/CCU30616701/PHS HHS/     Research Support, Non-U.S. Gov't     Research Support, U.S. Gov't, Non-P.H.S.     Research Support, U.S. Gov't, P.H.S.     AJR Am J Roentgenol. 1993 Feb;160(2):271-4. doi: 10.2214/ajr.160.2.8424332.
Bassett, L W     Lubisich, J P     Bresch, J P     Jessop, N W     Hendrick, R E     eng     U50/CCU30616701/PHS HHS/     Research Support, Non-U.S. Gov't     Research Support, U.S. Gov't, Non-P.H.S.     Research Support, U.S. Gov't, P.H.S.     AJR Am J Roentgenol. 1993 Feb;160(2):271-4. doi: 10.2214/ajr.160.2.8424332. RAYYAN-INCLUSION: {""Lindsay""=>false}"
24399503,[Distress Among Surgeons - a Study in German Hospitals],2017,1,1,Zentralbl Chir,0044-409X (Print) 0044-409x,142,6,590-598,"Bauer, J. and Groneberg, D. A.",,ger,,,"Background Stress with negative influence on health (distress) is highly prevalent among surgeons. Especially the physicians' own perception of working conditions plays an important role in an evaluation of the stress potential of working conditions. Thus, this study is intended to examine and evaluate the working conditions of surgeons in German hospitals. Material and Methods This web-based study is methodically based on the theoretical stress models of Siegrist (Effort-Reward-Imbalance Model) and Karasek (Job-Demand-Control Model). The questionnaire designed for this survey consists of items from two validated questionnaires. Thus it is possible to draw a conclusion about the job satisfaction and distress prevalence among surgeons concerning working conditions in German hospitals. Results In this study 58.2% (95% CI: 55.6 - 61.5) of respondents showed unfavourable working conditions (ER/JDC ratio > 1). Meanwhile 52.2% (95% CI: 49.3 - 55.1) were satisfied with their job. The distress prevalence among female surgeons was six percent points higher (95% CI: 0.1 - 12.0) at 62.4% with an odds ratio compared to male surgeons of 1.29 (95% CI: 1.01 - 1.65; p < 0.05). Chief residents, in comparison to functional positions, showed with 22.0% the lowest distress prevalence of all positions. The highest prevalence was shown by fellows with 66.7% (OR: 7.11; 95% CI: 3.26 - 15.48; p < 0.001). Furthermore 43.4% of fellows said that they were very satisfied with their job. Among attendings 61.5% stated this (OR: 2.08; 95% CI: 1.52 - 2.84; p < 0.001). Conclusions The outlined data emphasise a high stress-potential among surgeons in hospitals concerning working conditions. According to the ERI/JDC model emphasis should be put on the balance between effort and reward or, respectively, job demands and control.","1438-9592     Bauer, J     Groneberg, D A     English Abstract     Journal Article     Germany     Zentralbl Chir. 2017 Dec;142(6):590-598. doi: 10.1055/s-0033-1350893. Epub 2014 Jan 7.
Bauer, J     Groneberg, D A     ger     English Abstract     Germany     Zentralbl Chir. 2017 Dec;142(6):590-598. doi: 10.1055/s-0033-1350893. Epub 2014 Jan 7.
Bauer, J     Groneberg, D A     ger     English Abstract     Germany     Zentralbl Chir. 2017 Dec;142(6):590-598. doi: 10.1055/s-0033-1350893. Epub 2014 Jan 7.
Bauer, J     Groneberg, D A     ger     English Abstract     Germany     Zentralbl Chir. 2017 Dec;142(6):590-598. doi: 10.1055/s-0033-1350893. Epub 2014 Jan 7. RAYYAN-INCLUSION: {""Lindsay""=>false}"
"","Not too much, not too little, but just right: Goldilocks rounds at the cambridge health alliance",2014,1,1,Journal of General Internal Medicine,,29,,S527,"Bedard, R. E. and Rapoport, A. B. and Batalden, M.",http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L71496001,English,,,"NEEDS AND OBJECTIVES: The AGCME identifies Systems-Based Practice (SBP) as a core competency for internal medicine residents; sub-competencies described in this domain include providing cost-effective care, recognizing system errors and advocating for systems improvement. Through the new Clinical Learning Environment Review program, the ACGME expects training institutions to engage residents in efforts to ensure that their delivery system is providing safe, high quality, evidence-based care to patients. With these mandates, training programs across the country seek to build meaningful curricular opportunities for residents in this domain. The Goldilocks Rounds at the Cambridge Health Alliance provides an innovative forum for Internal Medicine residents to discuss cases involving the overuse, underuse and misuse of healthcare resources and to design and implement small tests of change. The objectives of these rounds are as follows: - To provide a forum for honest disclosure and discussion of clinical errors and system failures - To encourage residents to identify examples in their own practice of the overuse or inappropriate use of healthcare resources -To help residents articulate one improvement oriented action item from each rounds that residents have the power to implement in real time SETTING AND PARTICIPANTS: The Cambridge Health Alliance (CHA) is an integrated public healthcare system comprised of two community hospitals and an extensive primary care network. The internal medicine residency has 8 residents in each of the PGY-1, 2 and 3 years; there are an additional 8 psychiatry interns and 7 transitional-year interns who also train on one 32-bed inpatient medicine teaching unit. All residents are invited to monthly Goldilocks Rounds. The two chief medical residents facilitate rounds. Hospitalist teaching faculty are present to offer guidance; an open invitation is extended to nursing staff. DESCRIPTION: Goldilocks Rounds are scheduled during lunch hour at regular intervals throughout the year. Housestaff come to rounds prepared with recent stories from their own practice that exemplify the overuse or misuse of medical resources, situations in which a clinical error was made, or a system failure occurred. An unnecessary blood draw, a misunderstanding with a nurse: Trainees are encouraged not to accept these issues as byproducts of a complex health system but to identify them as areas for improvement and come up with solutions. During Goldilocks Rounds, participants select 1-2 pressing problems raised in the case discussion, brainstorm potential interventions, and commit to taking some individual or group action. Facilitators help formulate discrete, simple, positive interventions that are within the scope of the residents to enact. When applicable, chief residents lead the group in filing a formal occurrence report to model the importance of reporting errors. Residents are the primary physicians on this dedicated inpatient teaching unit; they interact consistently with the same group of nurses and ancillary staff and can exercise genuine leadership in changing the practice environment. Action items that have resulted from Goldilocks Rounds during this academic year include patient education about how to ask for PRN medications in the hospital and improved end of shift signout protocols between day and night resident teams. EVALUATION: Prior to the first Goldilocks Rounds all house officers were invited to complete a survey on their attitudes and perceived self-efficacy regarding SBP and quality improvement. Sixty percent of residents responded. The same survey will be administered at the end of this academic year to assess change in attitudes and selfefficacy in these domains. Residents are informally invited to offer feedback on Goldilocks Rounds to the chief residents throughout the year. Finally, the chief medical residents follow up each rounds with a synopsis of issues discussed and proposed interventions. Chief residents audit the implementation and efficacy of those interventions goin forward, unless a specific resident champion is identified. DISCUSSION/REFLECTION/LESSONS LEARNED: Baseline survey results revealed that 43 % of respondents report feeling very comfortable discussing a medical error with a fellow housestaff. Only 21 % are very comfortable filing a formal occurrence report. Only 22 % currently feel very comfortable raising issues about healthcare costs and use of medical resources with their attending physician. Despite this, 72 % of respondents report that they strongly agree with the statement My role as a physician includes a responsibility to improve the system of care in which I practice. Certainly this enthusiasm for systems-improvement work is evident in the Goldilocks Rounds discussions where trainees are eager to volunteer experiences and generate improvement suggestions. The Goldilocks Rounds are a promising strategy for bringing systems-based practice into the residency curriculum in a practical, relevant way that impacts both resident learning and patient care.","L71496001     2014-06-17 RAYYAN-INCLUSION: {""Lindsay""=>false}"
2012-10995-003,Emerging from the shadow and exposed to the light,2012,1,1,Women in psychiatry: Personal perspectives.,978-1-58562-408-9,,,31-42,"Benjelloun, Hind and Norris, Donna M. and Jayaram, Geetha and Primm, Annelle B.",http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2012-10995-003&site=ehost-live&scope=site,,"American Psychiatric Publishing, Inc."," Arlington, VA, US DB  - psyh DP  - EBSCOhost","In this chapter, the author states that her impression of her role as a woman is strongly shaped by her upbringing. The Moroccan culture, as many Arab cultures do, places a great emphasis on the first-born child; the first son in particular grants great pride and esteem to a family. Although the legal-religious organization of no two Arab countries is identical, women are stereotypically represented as oppressed and subordinate. This perception is reinforced by a patriarchal class system that has dominated the Arab world for thousands of years. Unlike in the West where the individual is the basic unit of the state, it is the family that is the basis of Arab states. Within this framework, the rights of women are expressed solely in their roles as wives and mothers (Handal 2000; Sebbar 2000). It was within this framework that the author was raised. She goes on to say that there remains a strong, unspoken differential in the impressions and expectations of women versus men as leaders. A woman, because of predefined and learned perspectives, will encounter a variety of forces that challenge her desire to be viewed as a competent, valuable, and potent leader. In particular, in the transition out of her training years (from resident, to chief resident, to attending physician), the author has been increasingly mindful of this phenomenon. It remains a struggle for her to find her individual equilibrium, especially in the academic world at Georgetown. She is more and more aware of opinions and critiques about her teaching and leadership style that seem related in many ways to her gender. She goes on to discuss the importance of the balance between personal and professional life, establishing limits and 'learning how to say no.' Feeling overworked, overwhelmed, overstressed and overcommitted leads to an unproductive, fruitless life. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","Accession Number: 2012-10995-003. Partial author list: First Author & Affiliation: Benjelloun, Hind; Inpatient Psychiatry Unit, Georgetown University Hospital, Washington, DC, US. Release Date: 20120716. Publication Type: Book (0200), Edited Book (0280). Format Covered: Print. Document Type: Chapter. Book Type: Classic Book. ISBN: 978-1-58562-408-9, Paperback. Language: English. Major Descriptor: Arabs; Cross Cultural Differences; Human Females; Leadership Style. Classification: Professional Psychological & Health Personnel Issues (3400). Intended Audience: General Public (GP). References Available: Y. Page Count: 12. RAYYAN-INCLUSION: {""Lindsay""=>false} | RAYYAN-EXCLUSION-REASONS: wrong study design"
1945200,The effect of double gloving on frequency of glove perforations,1991,1,1,Obstet Gynecol,0029-7844 (Print) 0029-7844,78,6,1019-22,"Bennett, B. and Duff, P.",,eng,,,"OBJECTIVE: The purposes of this prospective investigation were to determine the frequency of glove perforation during obstetric and gynecologic procedures and to assess the value of double gloving in preventing damage to the inner glove. METHODS: During a 2-month period, surgeons in the Department of Obstetrics and Gynecology were asked to double glove during all operative procedures. At the conclusion of surgery, the gloves were collected and the surgeons noted the type of procedure and their role as primary surgeon or first assistant. They also indicated whether a perforation was recognized intraoperatively. The gloves were tested for damage by first filling them with air and immersing them in water and then by directly filling them with water. RESULTS: Four hundred forty-one sets of double gloves were evaluated. Of these, 61 sets (14%, 95% confidence interval 10.8-17.2%) had holes in at least one of the four gloves and six sets had more than one perforation, for a total of 67 holes. Fifty-two holes (78%) penetrated only the outer glove and nine (13%) were only in the inner glove. Penetration of both gloves at identical sites occurred in only six of the total glove sets (1.4%, 95% confidence interval 0.3-2.5%). The two most common sites of perforation were the thumb and index finger of the nondominant hand. Glove perforation occurred in 15% of cesarean deliveries and 11% of vaginal deliveries, a nonsignificant difference. In contrast, penetration occurred in 28% of major gynecologic procedures (P less than .05 compared with cesarean or vaginal delivery). Chief and third-year residents were significantly more likely to sustain perforation than were attending physicians or junior residents (P less than .01). Perforation to the gloves of chief residents typically occurred while they were serving as assistants for first- and second-year residents. Third-year residents usually sustained perforations while functioning as primary surgeons. CONCLUSIONS: Glove perforations occur with relatively high frequency during pelvic surgery, particularly abdominal procedures. Double gloving offers a measure of protection against damage to the inner glove and may prevent subsequent exposure of the surgeon to blood and other body fluids.","Bennett, B     Duff, P     Journal Article     United States     Obstet Gynecol. 1991 Dec;78(6):1019-22.
Bennett, B     Duff, P     eng     Obstet Gynecol. 1991 Dec;78(6):1019-22.
Bennett, B     Duff, P     eng     Obstet Gynecol. 1991 Dec;78(6):1019-22.
Bennett, B     Duff, P     eng     Obstet Gynecol. 1991 Dec;78(6):1019-22. RAYYAN-INCLUSION: {""Lindsay""=>false} | RAYYAN-EXCLUSION-REASONS: wrong outcome"
22379518,A preliminary report on resident emergency psychiatry training from a survey of psychiatry chief residents,2011,1,1,J Grad Med Educ,1949-8349 (Print)     1949-8357,3,1,21-5,"Bennett, J. I. and Dzara, K. and Mazhar, M. N. and Behere, A.",,eng,,,"BACKGROUND: The Accreditation Council for Graduate Medical Education (ACGME) requirements stipulate that psychiatry residents need to be educated in the area of emergency psychiatry. Existing research investigating the current state of this training is limited, and no research to date has assessed whether the ACGME Residency Review Committee requirements for psychiatry residency training are followed by psychiatry residency training programs. METHODS: We administered, to chief resident attendees of a national leadership conference, a 24-item paper survey on the types and amount of emergency psychiatry training provided by their psychiatric residency training programs. Descriptive statistics were used in the analysis. RESULTS: Of 154 surveys distributed, 111 were returned (72% response rate). Nearly one-third of chief resident respondents indicated that more than 50% of their program's emergency psychiatry training was provided during on-call periods. A minority indicated that they were aware of the ACGME program requirements for emergency psychiatry training. While training in emergency psychiatry occurred in many programs through rotations-different from the on-call period-direct supervision was available during on-call training only about one-third of the time. CONCLUSIONS: The findings suggest that about one-third of psychiatry residency training programs do not adhere to the ACGME standards for emergency psychiatry training. Enhanced knowledge of the ACGME requirements may enhance psychiatry residents' understanding on how their programs are fulfilling the need for more emergency psychiatry training. Alternative settings to the on-call period for emergency psychiatry training are more likely to provide for direct supervision.","1949-8357     Bennett, Jeffrey I     Dzara, Kristina     Mazhar, Mir Nadeem     Behere, Aniruddh     Journal Article     United States     J Grad Med Educ. 2011 Mar;3(1):21-5. doi: 10.4300/JGME-D-10-00056.1.
Bennett, Jeffrey I     Dzara, Kristina     Mazhar, Mir Nadeem     Behere, Aniruddh     eng     J Grad Med Educ. 2011 Mar;3(1):21-5. doi: 10.4300/JGME-D-10-00056.1.
Bennett, Jeffrey I     Dzara, Kristina     Mazhar, Mir Nadeem     Behere, Aniruddh     eng     J Grad Med Educ. 2011 Mar;3(1):21-5. doi: 10.4300/JGME-D-10-00056.1.
Bennett, Jeffrey I     Dzara, Kristina     Mazhar, Mir Nadeem     Behere, Aniruddh     eng     J Grad Med Educ. 2011 Mar;3(1):21-5. doi: 10.4300/JGME-D-10-00056.1. RAYYAN-INCLUSION: {""Lindsay""=>false} | RAYYAN-EXCLUSION-REASONS: wrong outcome"
24519800,Psychiatry chief resident opinions toward basic and clinical neuroscience training and practice,2014,1,1,Acad Psychiatry,1042-9670 (Print) 1042-9670,38,2,141-4,"Bennett, J. I. and Handa, K. and Mahajan, A. and Deotale, P.",,eng,,,"OBJECTIVE: The authors queried attendees to a chief resident conference on whether program education and training in neuroscience or in translating neuroscience research into practice is sufficient and what changes are needed. METHODS: The authors developed and administered a 26-item voluntary questionnaire to each attendee at the Chief Residents' Leadership Conference at the American Psychiatric Association 2013 annual meeting in San Francisco, CA. RESULTS: Out of 94 attendees, 55 completed and returned questionnaires (58.5%). A majority of respondents stated that their program provided adequate training in neuroscience (61.8%); opportunities for neuroscience research existed for them (78.2%), but that their program did not prepare them for translating future neuroscience research findings into clinical practice (78.9%) or educate them on the NIMH Research Domain Criteria (83.3%). A majority of respondents stated that the ACGME should require a specific neuroscience curriculum (79.6%). CONCLUSION: Chief residents believe that curricular and cultural change is needed in psychiatry residency neuroscience education.","1545-7230     Bennett, Jeffrey I     Handa, Kamna     Mahajan, Aman     Deotale, Pravesh     Journal Article     United States     Acad Psychiatry. 2014 Apr;38(2):141-4. doi: 10.1007/s40596-014-0052-8. Epub 2014 Feb 12.
Bennett, Jeffrey I     Handa, Kamna     Mahajan, Aman     Deotale, Pravesh     eng     Acad Psychiatry. 2014 Apr;38(2):141-4. doi: 10.1007/s40596-014-0052-8. Epub 2014 Feb 12.
Bennett, Jeffrey I     Handa, Kamna     Mahajan, Aman     Deotale, Pravesh     eng     Acad Psychiatry. 2014 Apr;38(2):141-4. doi: 10.1007/s40596-014-0052-8. Epub 2014 Feb 12.
Bennett, Jeffrey I     Handa, Kamna     Mahajan, Aman     Deotale, Pravesh     eng     Acad Psychiatry. 2014 Apr;38(2):141-4. doi: 10.1007/s40596-014-0052-8. Epub 2014 Feb 12. RAYYAN-INCLUSION: {""Lindsay""=>false} | RAYYAN-EXCLUSION-REASONS: wrong outcome"
18271424,[What are the differences between American and French urologists?],2007,1,1,Prog Urol,1166-7087 (Print) 1166-7087,17,7,1367-71,"Bensalah, K. and Traxer, O. and Shariat, S. F. and Zimmern, P.",,fre,,,"As a result of the recognized training that they provide for urologists, France and the U.S.A. both participate in the development and innovation of this specialty. However, there are many differences between the two systems. Medical training is not organized in the same way. Americans must obtain a University Master's degree before entering medical school and selection by entrance examinations at the end of the first year and at internship is specific to France. In the U.S.A., admission to a urology training programme is based on national matching, in which the candidate's personality and career are at least as important as his or her examination results. Residency lasts for about the same duration as in France. General surgical training is more succinct. Residency ends with a year of Chief Resident, which validates the practical training. A registrar position is not systematic. Residents can complete their training by a specialized fellowship (endourology, oncology, urogynaecology...) when they are planning a university career. Residents receive a very good intellectual education throughout their training, designed to prepare them for the Board certification which validates their training and authorizes them to practice. Finally, the possibility to conduct research in parallel with clinical practice is probably one of the greatest advantages of the American system which benefits from greater resources and a particularly effective organization. French and American training programmes are not organized in the same way for cultural, social and economic reasons. It would no doubt be beneficial to consider the positive aspects of transatlantic training to improve and maintain the excellence of French urology.","Bensalah, Karim     Traxer, Olivier     Shariat, Shahrokh F     Zimmern, Philippe     Comparative Study     English Abstract     Journal Article     France     Prog Urol. 2007 Nov;17(7):1367-71.
Bensalah, Karim     Traxer, Olivier     Shariat, Shahrokh F     Zimmern, Philippe     fre     Comparative Study     English Abstract     France     Prog Urol. 2007 Nov;17(7):1367-71.
Bensalah, Karim     Traxer, Olivier     Shariat, Shahrokh F     Zimmern, Philippe     fre     Comparative Study     English Abstract     France     Prog Urol. 2007 Nov;17(7):1367-71.
Bensalah, Karim     Traxer, Olivier     Shariat, Shahrokh F     Zimmern, Philippe     fre     Comparative Study     English Abstract     France     Prog Urol. 2007 Nov;17(7):1367-71. RAYYAN-INCLUSION: {""Lindsay""=>false} | RAYYAN-EXCLUSION-REASONS: wrong population"
21493231,Otolaryngology resident selection: do rank lists matter?,2011,1,1,Otolaryngol Head Neck Surg,0194-5998 (Print) 0194-5998,144,4,537-41,"Bent, J. P. and Colley, P. M. and Zahtz, G. D. and Smith, R. V. and Parikh, S. R. and Schiff, B. and Fried, M. P.",,eng,,,"OBJECTIVES: To examine the relationship between National Residency Matching Program (NRMP) rank list position and future otolaryngology residency performance. STUDY DESIGN: Cohort study. METHODS: Eight consecutive residency classes (starting 2001-2008; 4 residents/y) were reviewed. Three hundred and thirty-three applicants (40.6 applicants/y) were interviewed, and 316 (94.9%) were ranked. Residents matching with our program were divided 3 different ways: into quarters, thirds, and halves, based on their rank order. Correlation coefficients were obtained to compare resident rank number and rank group (quarter, third, half) to faculty evaluation, coresident evaluation, and in-service score. Chi-square tests were conducted comparing rank group to chief resident selection and annual teaching award. RESULTS: Resident NRMP rank number was not significantly correlated with faculty evaluation, coresident evaluation, or in-service exam score (-0.21 < r < 0.05; P > .28). There was also no significant correlation between resident quarter, third, or half rank group and faculty evaluation; coresident evaluation; or in-service exam score (-0.29 < r < 0.10; P > .13). Chi-square analysis found no relationship between resident rank group and chief resident (P > .35) or teaching award (P > .13) selection. CONCLUSIONS: Applicant rank number and rank group did not correlate with performance of this otolaryngology residency cohort as assessed by faculty evaluation, coresident evaluation, in-service exam score, or selection for chief resident or the annual teaching award. Resident selection committees should consider reallocating manpower hours from creating rank order to recruiting applicants and selecting interview candidates.","1097-6817     Bent, John P     Colley, Patrick M     Zahtz, Gerald D     Smith, Richard V     Parikh, Sanjay R     Schiff, Bradley     Fried, Marvin P     Journal Article     England     Otolaryngol Head Neck Surg. 2011 Apr;144(4):537-41. doi: 10.1177/0194599810396604. Epub 2011 Feb 4.
Bent, John P     Colley, Patrick M     Zahtz, Gerald D     Smith, Richard V     Parikh, Sanjay R     Schiff, Bradley     Fried, Marvin P     eng     England     Otolaryngol Head Neck Surg. 2011 Apr;144(4):537-41. doi: 10.1177/0194599810396604. Epub 2011 Feb 4.
Bent, John P     Colley, Patrick M     Zahtz, Gerald D     Smith, Richard V     Parikh, Sanjay R     Schiff, Bradley     Fried, Marvin P     eng     England     Otolaryngol Head Neck Surg. 2011 Apr;144(4):537-41. doi: 10.1177/0194599810396604. Epub 2011 Feb 4.
Bent, John P     Colley, Patrick M     Zahtz, Gerald D     Smith, Richard V     Parikh, Sanjay R     Schiff, Bradley     Fried, Marvin P     eng     England     Otolaryngol Head Neck Surg. 2011 Apr;144(4):537-41. doi: 10.1177/0194599810396604. Epub 2011 Feb 4. RAYYAN-INCLUSION: {""Lindsay""=>false}"
